AHRI #,CONDENSER,COIL,FURNACE,EER2,SEER2,HSPF2,FINANCE,25C
214785328.0,RA13NY18AJ1NALHP,RCFY2417STANMC,R951V0403A17M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214785330.0,RA13NY18AJ1NALHP,RCFY2417STANMC,R951V0603A17M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214785333.0,RA13NY18AJ1NALHP,RCFY2417STANMC,R951V0703A17M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214793067.0,RA13NY24AJ1NALHP,RCFY2417STANMC,R951V0403A17M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214792919.0,RA13NY24AJ1NALHP,RCFY2417STANMC,R951V0603A17M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214792922.0,RA13NY24AJ1NALHP,RCFY2417STANMC,R951V0703A17M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214786236.0,RA13NY30AJ1NALHP,RCFY3617STANMC,R951V0403A17M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214786705.0,RA13NY30AJ1NALHP,RCFY3617STANMC,R951V0603A17M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214786317.0,RA13NY30AJ1NALHP,RCFY3617STANMC,R951V0703A17M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214786676.0,RA13NY30AJ1NALHP,RCFY3621STANMC,R951V0705A21M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214786901.0,RA13NY30AJ1NALHP,RCFY3621STANMC,R951V0855A21M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214786548.0,RA13NY30AJ1NALHP,RCFY3621STANMC,R951V1005A21M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
216710073.0,RA13NY36AJ1NALHP,RCFY3617STANMC,R951V0403A17M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214792147.0,RA13NY36AJ1NALHP,RCFY3617STANMC,R951V0603A17M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214792189.0,RA13NY36AJ1NALHP,RCFY3617STANMC,R951V0703A17M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214791616.0,RA13NY36AJ1NALHP,RCFY3621STANMC,R951V0705A21M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214791564.0,RA13NY36AJ1NALHP,RCFY3621STANMC,R951V0855A21M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214791803.0,RA13NY36AJ1NALHP,RCFY3621STANMC,R951V1005A21M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214790035.0,RA13NY42AJ1NALHP,RCFY3621STANMC,R951V0705A21M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214795050.0,RA13NY42AJ1NALHP,RCFY4821STANMC,R951V0855A21M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214795073.0,RA13NY42AJ1NALHP,RCFY4821STANMC,R951V1005A21M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214795671.0,RA13NY42AJ1NALHP,RCFY4824STANMC,R951V1155A24M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214789046.0,RA13NY48AJ1NALHP,RCFY4821STANMC,R951V0855A21M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214788844.0,RA13NY48AJ1NALHP,RCFY4821STANMC,R951V1005A21M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214788684.0,RA13NY48AJ1NALHP,RCFY4824STANMC,R951V1155A24M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214787861.0,RA13NY60AJ1NALHP,RCFY6024STANMC,R951V1005A21M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
214787894.0,RA13NY60AJ1NALHP,RCFY6024STANMC,R951V1155A24M4SCAP,9.0,13.4,,Yes - Furn w/Econet,No
,,,,,,,,
