Brand,CONDENSER,Coil/Air Handler,FURNACE,AHRI #,Size,SEER2,HSPF2,Finance (Buy-Down),25C Tax Credit
RUUD,RP14AY18AJ1NA,RH2TY2417STANNJ,,214568786,18000 BTU,14.3,7.5,No,No
RUUD,RP14AY24AJ2NA,RH2TY2417STANNJ,,214568791,24000 BTU,14.3,7.5,No,No
RUUD,RP14AY30AJ2NA,RH2TY3617STANNJ,,214568796,30000 BTU,14.3,7.5,No,No
RUUD,RP14AY36AJ2NA,RH2TY3617STANNJ,,214568801,36000 BTU,14.3,7.5,No,No
RUUD,RP14AY42AJ2NA,RH2TY4821STANNJ,,214568806,42000 BTU,14.3,7.5,No,No
RUUD,RP14AY48AJ2NA,RH2TY4821STANNJ,,214568811,48000 BTU,14.3,7.5,No,No
RUUD,RP14AY60AJ2NA,RH2TY6024STANNJ,,214803217,60000 BTU,15.2,7.8,No,No
RUUD,RP15AY18AJ2NA,RH2TY2417STANNJ,,215487006,18000 BTU,15.2,7.8,Yes,No
RUUD,RP15AY24AJ2NA,RH2TY2417STANNJ,,215415457,24000 BTU,15.2,7.8,Yes,No
RUUD,RP15AY30AJ2NA,RH2TY3617STANNJ,,215487012,30000 BTU,15.2,7.8,Yes,No
RUUD,RP15AY36AJ2NA,RH2TY3617STANNJ,,215415474,36000 BTU,15.2,7.8,Yes,No
RUUD,RP15AY42AJ2NA,RH2TY4821STANNJ,,215487018,42000 BTU,15.2,7.8,Yes,No
RUUD,RP15AY48AJ2NA,RH2TY4821STANNJ,,215415466,48000 BTU,15.2,7.8,Yes,No
RUUD,RP15AY60AJ2NA,RH2TY6024STANNJ,,215415480,60000 BTU,15.2,7.8,Yes,No
RUUD,RD18AY36AJVCA,RH2TY3617STANNJ,,216980430,36000 BTU,19.0,8.5,Yes,Yes
RUUD,RD18AY48AJVCA,RH2TY4821STANNJ,,216980435,48000 BTU,18.0,9.5,Yes,Yes
RUUD,RD18AY60AJVCA,RH2TY6024STANNJ,,216980441,60000 BTU,18.0,8.5,Yes,Yes
