AHRI #,CONDENSER,COIL,FURNACE,EER2,SEER2,HSPF2,FINANCE,25C
214568786.0,RP14AY18AJ1NA,RH2TY2417STANNJ,,9.0,14.3,7.5,No,No
214568791.0,RP14AY24AJ2NA,RH2TY2417STANNJ,,9.0,14.3,7.5,No,No
214568796.0,RP14AY30AJ2NA,RH2TY3617STANNJ,,9.0,14.3,7.5,No,No
214568801.0,RP14AY36AJ2NA,RH2TY3617STANNJ,,9.0,14.3,7.5,No,No
214568806.0,RP14AY42AJ2NA,RH2TY4821STANNJ,,9.0,14.3,7.5,No,No
214568811.0,RP14AY48AJ2NA,RH2TY4821STANNJ,,9.0,14.3,7.5,No,No
214803217.0,RP14AY60AJ2NA,RH2TY6024STANNJ,,11.7,15.2,7.8,No,No
,,,,,,,,
215487006.0,RP15AY18AJ2NA,RH2TY2417STANNJ,,11.7,15.2,7.8,Yes,No
215415457.0,RP15AY24AJ2NA,RH2TY2417STANNJ,,11.7,15.2,7.8,Yes,No
215487012.0,RP15AY30AJ2NA,RH2TY3617STANNJ,,11.7,15.2,7.8,Yes,No
215415474.0,RP15AY36AJ2NA,RH2TY3617STANNJ,,11.7,15.2,7.8,Yes,No
215487018.0,RP15AY42AJ2NA,RH2TY4821STANNJ,,11.7,15.2,7.8,Yes,No
215415466.0,RP15AY48AJ2NA,RH2TY4821STANNJ,,11.7,15.2,7.8,Yes,No
215415480.0,RP15AY60AJ2NA,RH2TY6024STANNJ,,11.7,15.2,7.8,Yes,No
,,,,,,,,
216980430.0,RD18AY36AJVCA,RH2TY3617STANNJ,,12.0,19.0,8.5,Yes,Yes
216980435.0,RD18AY48AJVCA,RH2TY4821STANNJ,,12.0,18.0,9.5,Yes,Yes
216980441.0,RD18AY60AJVCA,RH2TY6024STANNJ,,11.7,18.0,8.5,Yes,Yes
