Brand,CONDENSER,Coil/Air Handler,FURNACE,AHRI #,Size,SEER2,HSPF2,Finance (Buy-Down),25C Tax Credit
RUUD,RP14AY18AJ1NA,RCFY2417STANMC,R962V0403A17M4SCAP,214589269,18000 BTU,14.3,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY18AJ1NA,RCFY2417STANMC,R962V0603A17M4SCAP,214589274,18000 BTU,14.3,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY18AJ1NA,RCFY2417STANMC,R962V0703A17M4SCAP,214589264,18000 BTU,14.3,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY24AJ2NA,RCFY2417STANMC,R962V0403A17M4SCAP,214589538,24000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY24AJ2NA,RCFY2417STANMC,R962V0603A17M4SCAP,214589540,24000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY24AJ2NA,RCFY2417STANMC,R962V0703A17M4SCAP,214589523,24000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY30AJ2NA,RCFY3617STANMC,R962V0403A17M4SCAP,214589723,30000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY30AJ2NA,RCFY3617STANMC,R962V0703A17M4SCAP,214589727,30000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY30AJ2NA,RCFY3621STANMC,R962V0705A21M4SCAP,214591296,30000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY30AJ2NA,RCFY3621STANMC,R962V0855A21M4SCAP,214591286,30000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY30AJ2NA,RCFY3621STANMC,R962V1005A21M4SCAP,214591299,30000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY36AJ2NA,RCFY3617STANMC,R962V0403A17M4SCAP,214589994,36000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY36AJ2NA,RCFY3617STANMC,R962V0603A17M4SCAP,214590005,36000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY36AJ2NA,RCFY3617STANMC,R962V0703A17M4SCAP,214590009,36000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY36AJ2NA,RCFY3621STANMC,R962V0705A21M4SCAP,214591552,36000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY36AJ2NA,RCFY3621STANMC,R962V0855A21M4SCAP,214591614,36000 BTU,14.8,7.5,Yes - Furn w/Econet,No
