Brand,CONDENSER,Coil/Air Handler,FURNACE,AHRI #,Size,SEER2,HSPF2,Finance (Buy-Down),25C Tax Credit
RUUD,RP14AY18AJ1NA,RH2VY2417STACNJ,,216030782,18000 BTU,14.3,7.7,No,No
RUUD,RP14AY24AJ2NA,RH2VY2417STACNJ,,216030576,24000 BTU,15.2,7.5,No,No
RUUD,RP14AY30AJ2NA,RH2VY3617STACNJ,,216030662,30000 BTU,15.2,7.5,No,No
RUUD,RP14AY36AJ2NA,RH2VY3617STACNJ,,216030672,36000 BTU,15.2,7.7,No,No
RUUD,RP14AY42AJ2NA,RH2VY4821STACNJ,,216030691,42000 BTU,15.2,7.7,No,No
RUUD,RP14AY48AJ2NA,RH2VY4821STACNJ,,216030582,48000 BTU,15.2,7.8,No,No
RUUD,RP14AY60AJ2NA,RH2VY6024STACNJ,,216030701,60000 BTU,15.2,7.8,No,No
RUUD,RP15AY18AJ2NA,RH2VY2417STACNJ,,216535282,18000 BTU,16.0,7.8,Yes,No
RUUD,RP15AY24AJ2NA,RH2VY2417STACNJ,,216030704,24000 BTU,16.0,7.7,Yes,No
RUUD,RP15AY30AJ2NA,RH2VY3617STACNJ,,216030713,30000 BTU,15.2,7.8,Yes,No
RUUD,RP15AY36AJ2NA,RH2VY3617STACNJ,,216030722,36000 BTU,16.0,7.8,Yes,No
RUUD,RP15AY42AJ2NA,RH2VY4821STACNJ,,216030732,42000 BTU,16.0,8.1,Yes,Yes
RUUD,RP15AY48AJ2NA,RH2VY4821STACNJ,,216030740,48000 BTU,15.2,8.1,Yes,No
RUUD,RP15AY60AJ2NA,RH2VY6024STACNJ,,216030751,60000 BTU,15.2,7.7,Yes,No
RUUD,RD18AY24AJVCA,RH2VY3617STACNJ,,216613173,24000 BTU,18.0,9.5,Yes,Yes
RUUD,RD18AY36AJVCA,RH2VY3617STACNJ,,216891864,36000 BTU,19.0,8.5,Yes,Yes
RUUD,RD18AY48AJVCA,RH2VY4821STACNJ,,216891869,48000 BTU,18.0,10.0,Yes,Yes
RUUD,RD18AY48AJVCA,RH2VY6024STACNJ,,216613171,48000 BTU,18.0,9.5,Yes,Yes
RUUD,RD18AY60AJVCA,RH2VY6024STACNJ,,216613172,60000 BTU,18.0,10.0,Yes,Yes
RUUD,UP19AY24AJVCA,RHMVY3621MEACAJ,,215739592,24000 BTU,19.0,8.5,Yes,Yes
RUUD,UP19AY36AJVCA,RHMVY3621MEACAJ,,215584436,36000 BTU,19.0,8.5,Yes,Yes
RUUD,UP19AY48AJVCA,RHMVY4821SEACAJ,,215584437,48000 BTU,19.0,8.5,Yes,Yes
RUUD,UP19AY60AJVCA,RHMVY6021SEACAJ,,215584438,60000 BTU,17.5,8.1,Yes,No
