AHRI #,CONDENSER,COIL,FURNACE,EER2,SEER2,HSPF2,FINANCE,25C
216030782.0,RP14AY18AJ1NA,RH2VY2417STACNJ,,9.0,14.3,7.7,No,No
216030576.0,RP14AY24AJ2NA,RH2VY2417STACNJ,,10.5,15.2,7.5,No,No
216030662.0,RP14AY30AJ2NA,RH2VY3617STACNJ,,11.7,15.2,7.5,No,No
216030672.0,RP14AY36AJ2NA,RH2VY3617STACNJ,,11.7,15.2,7.7,No,No
216030691.0,RP14AY42AJ2NA,RH2VY4821STACNJ,,11.7,15.2,7.7,No,No
216030582.0,RP14AY48AJ2NA,RH2VY4821STACNJ,,10.5,15.2,7.8,No,No
216030701.0,RP14AY60AJ2NA,RH2VY6024STACNJ,,11.7,15.2,7.8,No,No
,,,,,,,,
216535282.0,RP15AY18AJ2NA,RH2VY2417STACNJ,,11.7,16.0,7.8,Yes,No
216030704.0,RP15AY24AJ2NA,RH2VY2417STACNJ,,12.0,16.0,7.7,Yes,No
216030713.0,RP15AY30AJ2NA,RH2VY3617STACNJ,,11.7,15.2,7.8,Yes,No
216030722.0,RP15AY36AJ2NA,RH2VY3617STACNJ,,12.0,16.0,7.8,Yes,No
216030732.0,RP15AY42AJ2NA,RH2VY4821STACNJ,,12.0,16.0,8.1,Yes,Yes
216030740.0,RP15AY48AJ2NA,RH2VY4821STACNJ,,10.0,15.2,8.1,Yes,No
216030751.0,RP15AY60AJ2NA,RH2VY6024STACNJ,,11.7,15.2,7.7,Yes,No
,,,,,,,,
216613173.0,RD18AY24AJVCA,RH2VY3617STACNJ,,11.7,18.0,9.5,Yes,Yes
216891864.0,RD18AY36AJVCA,RH2VY3617STACNJ,,12.0,19.0,8.5,Yes,Yes
216891869.0,RD18AY48AJVCA,RH2VY4821STACNJ,,11.7,18.0,10.0,Yes,Yes
216613171.0,RD18AY48AJVCA,RH2VY6024STACNJ,,12.0,18.0,9.5,Yes,Yes
216613172.0,RD18AY60AJVCA,RH2VY6024STACNJ,,11.7,18.0,10.0,Yes,Yes
,,,,,,,,
215739592.0,UP19AY24AJVCA,RHMVY3621MEACAJ,,12.0,19.0,8.5,Yes,Yes
215584436.0,UP19AY36AJVCA,RHMVY3621MEACAJ,,12.0,19.0,8.5,Yes,Yes
215584437.0,UP19AY48AJVCA,RHMVY4821SEACAJ,,12.0,19.0,8.5,Yes,Yes
215584438.0,UP19AY60AJVCA,RHMVY6021SEACAJ,,10.5,17.5,8.1,Yes,No
