Brand,CONDENSER,Coil/Air Handler,FURNACE,AHRI #,Size,SEER2,HSPF2,Finance (Buy-Down),25C Tax Credit
RUUD,RP14AY18AJ1NA,RCFY2417STANMC,R951V0403A17M4SCAP,214589057,18000 BTU,14.3,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY18AJ1NA,RCFY2417STANMC,R951V0603A17M4SCAP,214589047,18000 BTU,14.3,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY18AJ1NA,RCFY2417STANMC,R951V0703A17M4SCAP,214589068,18000 BTU,14.3,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY24AJ2NA,RCFY2417STANMC,R951V0403A17M4SCAP,214589482,24000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY24AJ2NA,RCFY2417STANMC,R951V0603A17M4SCAP,214589450,24000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY24AJ2NA,RCFY2417STANMC,R951V0703A17M4SCAP,214589468,24000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY30AJ2NA,RCFY3617STANMC,R951V0403A17M4SCAP,214589704,30000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY30AJ2NA,RCFY3617STANMC,R951V0703A17M4SCAP,214589706,30000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY30AJ2NA,RCFY3621STANMC,R951V0855A21M4SCAP,214591354,30000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY30AJ2NA,RCFY3621STANMC,R951V1005A21M4SCAP,214592261,30000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY36AJ2NA,RCFY3617STANMC,R951V0403A17M4SCAP,214589964,36000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY36AJ2NA,RCFY3617STANMC,R951V0603A17M4SCAP,214589966,36000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY36AJ2NA,RCFY3617STANMC,R951V0703A17M4SCAP,214589975,36000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY36AJ2NA,RCFY3621STANMC,R951V0855A21M4SCAP,214591898,36000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY36AJ2NA,RCFY3621STANMC,R951V1005A21M4SCAP,214591797,36000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY42AJ2NA,RCFY4821STANMC,R951V0855A21M4SCAP,214590172,42000 BTU,15.2,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY42AJ2NA,RCFY4821STANMC,R951V1005A21M4SCAP,214590196,42000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY42AJ2NA,RCFY4824STANMC,R951V1155A24M4SCAP,214592440,42000 BTU,15.2,7.8,Yes - Furn w/Econet,No
RUUD,RP14AY48AJ2NA,RCFY4821STANMC,R951V0855A21M4SCAP,214590591,48000 BTU,14.8,7.8,Yes - Furn w/Econet,No
RUUD,RP14AY48AJ2NA,RCFY4821STANMC,R951V1005A21M4SCAP,214590589,48000 BTU,14.8,7.5,Yes - Furn w/Econet,No
RUUD,RP14AY48AJ2NA,RCFY4824STANMC,R951V1155A24M4SCAP,214591997,48000 BTU,15.2,7.8,Yes - Furn w/Econet,No
RUUD,RP14AY60AJ2NA,RCFY6021STAAMC,R951V0855A21M4SCAP,214590767,60000 BTU,14.8,7.8,Yes - Furn w/Econet,No
RUUD,RP14AY60AJ2NA,RCFY6021STAAMC,R951V1005A21M4SCAP,214590769,60000 BTU,14.8,7.8,Yes - Furn w/Econet,No
RUUD,RP14AY60AJ2NA,RCFY6024STANMC,R951V1155A24M4SCAP,214594818,60000 BTU,15.2,7.8,Yes - Furn w/Econet,No
